Episode,X,Y,Z
1,-16.75562,1.184544,-15.22015
1,-16.80439,1.184545,-15.18739
1,-16.85315,1.184544,-15.15463
1,-16.90191,1.184545,-15.12186
1,-16.95068,1.184544,-15.0891
1,-16.97857,1.184545,-15.07609
1,-17.00646,1.184544,-15.06307
1,-17.03436,1.184545,-15.05006
1,-17.06225,1.184544,-15.03705
1,-17.09014,1.184545,-15.02403
1,-17.12276,1.184545,-15.03009
1,-17.15539,1.184545,-15.03616
1,-17.18801,1.184545,-15.04222
1,-17.22063,1.184545,-15.04828
1,-17.25326,1.184545,-15.05434
1,-17.27565,1.184544,-15.04292
1,-17.29803,1.184545,-15.03151
1,-17.32042,1.184544,-15.02009
